ID,name,Food Group,Calories,Fat,Protein,Carbohydrate,Sugars,Fiber,Saturated Fat,Calcium,Iron,Potassium,Magnesium,Vitamin A,Vitamin C,Vitamin B12,Vitamin E,Phosphorus,Sodium,Zinc,Copper,Manganese,Selenium,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Choline,Vitamin D,Vitamin K
781643,Mousse Not Chocolate,Sweets,207.0,15.42,1.8,16.88,14.73,0.8,9.789,32,0.17,129,9,176,11.1,0.07,0.51,33,38,0.16,0.036000000000000000,0.0,1.7,0.019,0.098,0.244,0.073,9,10.0,0,2.0
786276,Noodle Pudding With Milk,Sweets,257.0,7.09,6.16,43.25,26.08,1.2,3.247,101,1.01,204,30,67,0.1,0.29,1.0,129,61,0.74,0.125,0.0,16.6,0.195,0.243,1.656,0.063,42,16.5,0,0.6
789285,Nougat Chocolate Covered,Sweets,436.0,9.51,4.54,83.15,46.8,3.3,6.383000000000000,76,1.08,180,41,17,0.2,0.22,2.14,98,46,0.95,0.23400000000000000,0.0,3.1,0.041000000000000000,0.19,0.452,0.024,7,16.6,0,1.6
169060,Nougat With Almonds,Sweets,398.0,1.67,3.33,92.39,44.97,3.3,1.6670000000000000,32,0.59,105,32,0,0.3,0.01,2.77,55,33,0.42,0.134,0.304,2.6,0.013000000000000000,0.14800000000000000,0.478,0.02,5,5.1,0,0.0
169585,Peanut Bar,Sweets,522.0,33.7,15.5,47.4,42.22,4.1,4.678,78,0.97,407,110,0,0.0,0.0,4.1,308,156,3.94,0.774,1.2430000000000000,4.7,0.1,0.14,7.922000000000000,0.153,75,29.4,0,0.0
789295,Peanuts Yogurt Covered,Sweets,542.0,37.01,14.84,42.43,36.42,3.8,16.083,154,2.14,477,86,1,0.3,0.36,4.36,256,56,1.86,0.519,0.0,5.8,0.32300000000000000,0.204,5.514000000000000,0.187,112,37.3,0,5.2
781603,Pudding Bread,Sweets,155.0,4.74,5.47,23.52,14.72,1.0,1.661,119,1.04,203,16,72,0.2,0.19,0.39,111,216,0.59,0.067,0.0,9.6,0.092,0.22,0.7930000000000000,0.066,19,41.2,0,2.4
781627,Pudding Chocolate,Sweets,105.0,2.04,3.13,18.98,13.56,0.7,1.198,104,0.28,154,18,44,0.1,0.32,0.04,89,227,0.48,0.085,0.0,3.1,0.031,0.159,0.12300000000000000,0.03,4,12.2,0,0.3
781621,Pudding Coconut,Sweets,111.0,3.43,2.89,17.37,15.81,0.5,2.745,101,0.13,136,12,44,0.1,0.33,0.04,140,178,0.41,0.035,0.0,3.2,0.031,0.157,0.10300000000000000,0.035,4,12.5,0,0.2
781626,Pudding Flavors (Other Than Chocolate),Sweets,103.0,1.8,2.76,19.05,18.18,0.0,1.077,101,0.03,121,9,45,0.1,0.33,0.03,136,208,0.36,0.021,0.0,2.7,0.03,0.154,0.077,0.028000000000000000,4,12.0,0,0.2
